"Country","Year","Total"
"Albania",2017,36.5580061186612
"Albania",2018,45.6006473652674
"Albania",2019,76.9861092399049
"Austria",2010,0.80192610952981
"Austria",2011,1.54135809234343
"Austria",2012,1.1157358151684
"Austria",2013,0.67723693782411
"Austria",2014,0.509394508217807
"Austria",2015,0.05941770647653
"Austria",2016,0.534887526207897
"Austria",2017,0.294119054290433
"Austria",2018,1.09027254214596
"Austria",2019,0.978292822103443
"Austria",2020,1.32719846595631
"Austria",2021,0.983777860399883
"Austria",2022,0.576638892702139
"Bosnia and Herzegovina",2019,3.03321929330526
"Bosnia and Herzegovina",2020,0.150616019519836
"Bosnia and Herzegovina",2021,0.879740509263378
"Bosnia and Herzegovina",2022,0.644160397257609
"Bulgaria",2016,0.138612049822715
"Croatia",2016,1.10817467104316
"Croatia",2017,0.913171901182393
"Croatia",2018,0.123744304668378
"Croatia",2019,0.385337623206714
"Croatia",2020,0
"Croatia",2021,0.400787480530039
"Croatia",2022,1.08217780889286
"Czechia",2013,1.56361123884754
"Czechia",2014,0.269522195505747
"Czechia",2015,0.22223097759108
"Czechia",2016,0.266710996107313
"Czechia",2017,0.437045671358079
"Czechia",2019,0.490529616921104
"Czechia",2020,0.47915968275082
"Czechia",2021,0.0465605706463538
"Czechia",2022,1.0087033563502
"Denmark",2013,1.14598361833599
"Denmark",2014,0.470475090972049
"Denmark",2015,1.83645925968489
"Denmark",2016,0.156793878766973
"Denmark",2017,0.926514784287213
"Denmark",2018,0.325681364708059
"Denmark",2019,0.777155632156172
"Denmark",2020,0.71800272832453
"Denmark",2021,1.9526107482266
"Denmark",2022,0.333986276503899
"Estonia",2020,0
"Estonia",2021,0.68521779647661
"Estonia",2022,0
"Finland",2013,1.82681570749645
"Finland",2014,1.33236510108637
"Finland",2015,0.0810635538261997
"Finland",2016,0.399319559470662
"Finland",2017,0.916204131271695
"Finland",2018,0.574734994587915
"France",2015,1.31065542217609
"France",2016,1.17130132787892
"France",2017,1.01739232370214
"France",2018,1.05342042852986
"France",2019,1.14135301350876
"France",2020,0.87512894011953
"France",2021,0.93256454984485
"France",2022,0.634856539174032
"Georgia",2016,1.58922400572657
"Georgia",2018,0.275989495879137
"Germany",2013,0.701882915067286
"Germany",2014,0.667488399211382
"Germany",2015,0.736359184681866
"Germany",2016,1.20310052780636
"Germany",2017,0.739869120002739
"Germany",2018,0.871010201524055
"Germany",2019,0.630730460285547
"Germany",2020,0.772641108176789
"Germany",2021,0.807892394881288
"Germany",2022,0.572407326447739
"Hungary",2013,2.99591145854867
"Hungary",2014,2.25832241182848
"Hungary",2016,0.711899891412258
"Hungary",2017,0.886114520416554
"Hungary",2018,0.52636583122485
"Hungary",2019,0.94197716049752
"Hungary",2020,0.219093394770079
"Hungary",2021,0.578485979385037
"Hungary",2022,0.519359025285617
"Iceland",2011,4.35729847494553
"Iceland",2013,0
"Iceland",2014,0
"Iceland",2015,0
"Iceland",2016,0
"Iceland",2017,0
"Iceland",2018,0
"Iceland",2019,0
"Iceland",2020,0
"Iceland",2021,0
"Iceland",2022,0
"Ireland",2015,0
"Ireland",2016,0.287011578047058
"Ireland",2017,0.298494428854309
"Ireland",2018,0.884033487822555
"Ireland",2019,0.481998846200942
"Ireland",2020,0.305087924259989
"Ireland",2021,0.456232981439082
"Ireland",2022,0.79631354703429
"Italy",2013,0.461848919304972
"Italy",2014,0.441903440344898
"Italy",2015,0.375786983218409
"Italy",2016,0.354132633868595
"Italy",2017,0.289251049466806
"Italy",2018,0.469047861034008
"Italy",2019,0.430113500279411
"Italy",2020,0.264375472831786
"Italy",2021,0.288899464141956
"Italy",2022,0.131566269870526
"Kosovo under UNSCR 1244",2015,0
"Kosovo under UNSCR 1244",2016,2.26723095525998
"Kosovo under UNSCR 1244",2017,2.66810333437674
"Kosovo under UNSCR 1244",2018,0.961854284235651
"Kosovo under UNSCR 1244",2019,2.51003874386073
"Kosovo under UNSCR 1244",2020,2.89645184648805
"Kosovo under UNSCR 1244",2021,0.795178040363237
"Latvia",2016,1.44262673475865
"Latvia",2017,0.49075902672012
"Latvia",2018,1.87959673269789
"Latvia",2019,2.96570229713637
"Latvia",2020,3.5530718333928
"Latvia",2021,0.247911346902348
"Latvia",2022,1.04411441578611
"Liechtenstein",2016,0
"Lithuania",2013,1.62033916880367
"Lithuania",2014,1.84728475840172
"Lithuania",2015,1.39822984102127
"Lithuania",2016,1.74253720578391
"Lithuania",2017,0.751653638003608
"Lithuania",2018,1.5692674659469
"Lithuania",2019,0.84305658595805
"Lithuania",2020,0.913342101417507
"Lithuania",2021,1.01149053244862
"Lithuania",2022,0.34559623991291
"Malta",2015,0
"Malta",2016,0
"Malta",2017,0
"Malta",2018,0
"Malta",2019,0
"Malta",2020,0
"Malta",2021,0
"Malta",2022,0
"Montenegro",2016,2.47234068854688
"Montenegro",2018,1.86655384385655
"Montenegro",2019,12.4428411820106
"Montenegro",2020,1.27286381630029
"Montenegro",2021,3.21440051430407
"Montenegro",2022,1.29711780423898
"Netherlands (Kingdom of the)",2013,0.390234974975979
"Netherlands (Kingdom of the)",2014,0.330623234971649
